"Comment","Designator","Footprint","LCSC Part #"
"0.1µF","C4,C10,C11,C12","C_0402_1005Metric",""
"10µF","C1,C2","C_0805_2012Metric",""
"10µF","C3,C5","C_0402_1005Metric",""
"22µF","C6,C7,C8,C9","C_0805_2012Metric",""
"3.6v","D2","D_SOD-323",""
"LED","D1,D3","LED_0603_1608Metric",""
"Conn_01x17_Pin","J1,J2","PinHeader_1x17_P2.54mm_Vertical",""
"USB_C_Receptacle_USB2.0_16P","J3","USB_C_Receptacle_HRO_TYPE-C-31-M-12",""
"1.5µH","L1","IND_XFL4020-152MEC",""
"Q_PMOS_GSD","Q1","SOT-23",""
"1kΩ","R1,R6","R_0402_1005Metric",""
"5.1kΩ","R9,R10","R_0402_1005Metric",""
"10kΩ","R2,R7,R8","R_0402_1005Metric",""
"100kΩ","R5,R11","R_0402_1005Metric",""
"150kΩ","R4","R_0402_1005Metric",""
"470kΩ","R3","R_0402_1005Metric",""
"BOOT","SW3","SW_SPST_TL3342",""
"ON/OFF","SW1","SW_SPST_CK_RS282G05A3",""
"RESET","SW2","SW_SPST_TL3342",""
"ESP32-S3-WROOM-1","U2","ESP32-S3-WROOM-1",""
"TPS630701RNMR","U1","TPS63070",""
"USBLC6-2SC6","U3","SOT-23-6",""
