"Designator","Value/Description","Footprint","Manufacturer Part Number"
"C4,C10,C11,C12","0.1µF","C_0402_1005Metric",""
"C1,C2","10µF","C_0805_2012Metric",""
"C3,C5","10µF","C_0402_1005Metric",""
"C6,C7,C8,C9","22µF","C_0805_2012Metric",""
"D2","3.6v","D_SOD-323",""
"D1,D3","LED","LED_0603_1608Metric",""
"J1,J2","Conn_01x17_Pin","PinHeader_1x17_P2.54mm_Vertical",""
"J3","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",""
"L1","1.5µH","IND_XFL4020-152MEC",""
"Q1","Q_PMOS_GSD","SOT-23",""
"R1,R6","1kΩ","R_0402_1005Metric",""
"R9,R10","5.1kΩ","R_0402_1005Metric",""
"R2,R7,R8","10kΩ","R_0402_1005Metric",""
"R5,R11","100kΩ","R_0402_1005Metric",""
"R4","150kΩ","R_0402_1005Metric",""
"R3","470kΩ","R_0402_1005Metric",""
"SW3","BOOT","SW_SPST_TL3342",""
"SW1","ON/OFF","SW_SPST_CK_RS282G05A3",""
"SW2","RESET","SW_SPST_TL3342",""
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",""
"U1","TPS630701RNMR","TPS63070",""
"U3","USBLC6-2SC6","SOT-23-6",""
